id	relatedness	relatedindividualID
KFP001	deg3	KFP063(5.45);KFP084(2.24)
KFP001	id	KFP076(101.55)
KFP001	pc	
KFP001	sec	KFP085(10.86)
KFP001	sib	
KFP002	deg3	KFP003(2.99);KFP027(0.58)
KFP002	id	
KFP002	pc	KFP043(41.52)
KFP002	sec	
KFP002	sib	KFP005(46.07)
KFP003	deg3	KFP002;KFP005(2.90);KFP027(1.41)
KFP003	id	
KFP003	pc	
KFP003	sec	
KFP003	sib	
KFP004	deg3	KFP036(0.42);KFP099(3.11)
KFP004	id	
KFP004	pc	
KFP004	sec	KFP079(11.35)
KFP004	sib	KFP071(25.10);KFP072(27.26);KFP077(69.13)
KFP005	deg3	KFP003
KFP005	id	
KFP005	pc	KFP043(38.30)
KFP005	sec	
KFP005	sib	KFP002
KFP006	deg3	
KFP006	id	
KFP006	pc	
KFP006	sec	KFP008(6.34)
KFP006	sib	
KFP007	deg3	KFP054(4.29)
KFP007	id	
KFP007	pc	
KFP007	sec	
KFP007	sib	
KFP008	deg3	
KFP008	id	
KFP008	pc	
KFP008	sec	KFP006
KFP008	sib	
KFP010	deg3	KFP073(2.80)
KFP010	id	
KFP010	pc	
KFP010	sec	
KFP010	sib	
KFP011	deg3	
KFP011	id	
KFP011	pc	
KFP011	sec	KFP074(4.56)
KFP011	sib	KFP019(23.29);KFP021(65.46)
KFP012	deg3	
KFP012	id	KFP024(116.66)
KFP012	pc	
KFP012	sec	
KFP012	sib	
KFP013	deg3	KFP047(0.00)
KFP013	id	
KFP013	pc	
KFP013	sec	
KFP013	sib	
KFP014	deg3	
KFP014	id	
KFP014	pc	
KFP014	sec	KFP030(12.11);KFP034(7.43);KFP083(4.58)
KFP014	sib	KFP033(71.82)
KFP016	deg3	
KFP016	id	
KFP016	pc	
KFP016	sec	KFP017(15.10);KFP049(12.01)
KFP016	sib	KFP047(21.00)
KFP017	deg3	KFP049(1.39)
KFP017	id	
KFP017	pc	KFP047(21.05)
KFP017	sec	KFP016;KFP095(1.68)
KFP017	sib	
KFP018	deg3	
KFP018	id	
KFP018	pc	
KFP018	sec	KFP049(6.09)
KFP018	sib	
KFP019	deg3	
KFP019	id	
KFP019	pc	
KFP019	sec	KFP074(3.75)
KFP019	sib	KFP011;KFP021(35.20)
KFP021	deg3	
KFP021	id	
KFP021	pc	KFP074(40.87)
KFP021	sec	
KFP021	sib	KFP011;KFP019
KFP023	deg3	
KFP023	id	
KFP023	pc	
KFP023	sec	
KFP023	sib	KFP066(75.10)
KFP024	deg3	
KFP024	id	KFP012
KFP024	pc	
KFP024	sec	
KFP024	sib	
KFP027	deg3	KFP002;KFP003
KFP027	id	
KFP027	pc	
KFP027	sec	KFP028(5.30)
KFP027	sib	
KFP028	deg3	
KFP028	id	
KFP028	pc	
KFP028	sec	KFP027;KFP103(11.60)
KFP028	sib	
KFP029	deg3	
KFP029	id	
KFP029	pc	
KFP029	sec	KFP069(7.81)
KFP029	sib	
KFP030	deg3	KFP034(0.87);KFP083(0.94)
KFP030	id	
KFP030	pc	KFP033(40.74);KFP045(34.00)
KFP030	sec	KFP014
KFP030	sib	
KFP033	deg3	
KFP033	id	
KFP033	pc	KFP030
KFP033	sec	KFP034(1.32);KFP083(8.82)
KFP033	sib	KFP014
KFP034	deg3	KFP030
KFP034	id	
KFP034	pc	
KFP034	sec	KFP014;KFP033;KFP069(8.12)
KFP034	sib	KFP083(15.92)
KFP036	deg3	KFP004
KFP036	id	
KFP036	pc	KFP073(31.19)
KFP036	sec	KFP071(9.53);KFP072(6.78);KFP077(3.71)
KFP036	sib	
KFP039	deg3	KFP083(1.49)
KFP039	id	
KFP039	pc	KFP040(36.25)
KFP039	sec	
KFP039	sib	KFP095(36.45)
KFP040	deg3	
KFP040	id	
KFP040	pc	KFP039
KFP040	sec	KFP095(10.05)
KFP040	sib	
KFP043	deg3	
KFP043	id	
KFP043	pc	KFP002;KFP005
KFP043	sec	
KFP043	sib	
KFP045	deg3	
KFP045	id	
KFP045	pc	KFP030
KFP045	sec	
KFP045	sib	
KFP046	deg3	KFP049(0.41)
KFP046	id	
KFP046	pc	
KFP046	sec	
KFP046	sib	
KFP047	deg3	KFP013;KFP049(3.71)
KFP047	id	
KFP047	pc	KFP017
KFP047	sec	
KFP047	sib	KFP016
KFP049	deg3	KFP017;KFP046;KFP047
KFP049	id	
KFP049	pc	
KFP049	sec	KFP016;KFP018
KFP049	sib	
KFP050	deg3	KFP098(0.57)
KFP050	id	
KFP050	pc	KFP061(39.47)
KFP050	sec	
KFP050	sib	
KFP051	deg3	
KFP051	id	KFP105(119.42)
KFP051	pc	
KFP051	sec	
KFP051	sib	
KFP052	deg3	KFP067(2.91)
KFP052	id	
KFP052	pc	
KFP052	sec	
KFP052	sib	
KFP053	deg3	KFP054(0.66)
KFP053	id	
KFP053	pc	
KFP053	sec	
KFP053	sib	
KFP054	deg3	KFP007;KFP053;KFP068(2.72)
KFP054	id	
KFP054	pc	
KFP054	sec	
KFP054	sib	
KFP055	deg3	
KFP055	id	
KFP055	pc	KFP070(40.07)
KFP055	sec	
KFP055	sib	
KFP057	deg3	
KFP057	id	
KFP057	pc	
KFP057	sec	
KFP057	sib	KFP098(61.70)
KFP058	deg3	KFP067(4.25)
KFP058	id	
KFP058	pc	
KFP058	sec	
KFP058	sib	KFP094(57.30)
KFP060	deg3	KFP067(0.31)
KFP060	id	
KFP060	pc	
KFP060	sec	
KFP060	sib	
KFP061	deg3	
KFP061	id	
KFP061	pc	KFP050
KFP061	sec	
KFP061	sib	
KFP063	deg3	KFP001;KFP076(3.77);KFP106(3.44)
KFP063	id	
KFP063	pc	KFP085(37.90)
KFP063	sec	
KFP063	sib	KFP084(50.45);KFP086(68.11)
KFP066	deg3	
KFP066	id	
KFP066	pc	
KFP066	sec	
KFP066	sib	KFP023
KFP067	deg3	KFP052;KFP058;KFP060;KFP094(1.78)
KFP067	id	
KFP067	pc	
KFP067	sec	
KFP067	sib	
KFP068	deg3	KFP054
KFP068	id	
KFP068	pc	KFP087(35.56)
KFP068	sec	KFP069(16.37)
KFP068	sib	
KFP069	deg3	KFP083(3.39);KFP088(1.90)
KFP069	id	
KFP069	pc	
KFP069	sec	KFP029;KFP034;KFP068;KFP087(17.03)
KFP069	sib	
KFP070	deg3	
KFP070	id	
KFP070	pc	KFP055
KFP070	sec	
KFP070	sib	
KFP071	deg3	KFP099(4.29)
KFP071	id	
KFP071	pc	
KFP071	sec	KFP036;KFP079(5.07)
KFP071	sib	KFP004;KFP072(17.54);KFP077(15.60)
KFP072	deg3	KFP099(4.90)
KFP072	id	
KFP072	pc	
KFP072	sec	KFP036;KFP079(6.32)
KFP072	sib	KFP004;KFP071;KFP077(40.17)
KFP073	deg3	KFP010
KFP073	id	
KFP073	pc	KFP036
KFP073	sec	
KFP073	sib	
KFP074	deg3	KFP080(0.65)
KFP074	id	
KFP074	pc	KFP021
KFP074	sec	KFP011;KFP019
KFP074	sib	
KFP075	deg3	
KFP075	id	
KFP075	pc	
KFP075	sec	KFP087(5.34)
KFP075	sib	KFP088(39.81)
KFP076	deg3	KFP063;KFP084(1.74)
KFP076	id	KFP001
KFP076	pc	
KFP076	sec	KFP085(8.60)
KFP076	sib	
KFP077	deg3	KFP099(2.84)
KFP077	id	
KFP077	pc	KFP079(38.24)
KFP077	sec	KFP036
KFP077	sib	KFP004;KFP071;KFP072
KFP079	deg3	
KFP079	id	
KFP079	pc	KFP077
KFP079	sec	KFP004;KFP071;KFP072
KFP079	sib	
KFP080	deg3	KFP074
KFP080	id	
KFP080	pc	KFP106(36.52)
KFP080	sec	
KFP080	sib	
KFP083	deg3	KFP030;KFP039;KFP069
KFP083	id	
KFP083	pc	
KFP083	sec	KFP014;KFP033
KFP083	sib	KFP034
KFP084	deg3	KFP001;KFP076;KFP106(3.21)
KFP084	id	
KFP084	pc	KFP085(38.85)
KFP084	sec	
