	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
0	KFP001_KFP002	un	deg3	21.85523612378984		
1	KFP001_KFP003	un	deg3	16.25093512219064		
2	KFP001_KFP004	un	deg3	12.255008484791913		
3	KFP001_KFP005	un	deg3	19.567695495205047		
4	KFP001_KFP006	un	deg3	20.71301853114005		
5	KFP001_KFP007	un	deg3	20.727917160422066		
6	KFP001_KFP008	un	deg3	18.60825214526426		
7	KFP001_KFP009	un	deg3	12.833131358525634		
8	KFP001_KFP010	un	deg3	18.104698151747016		
9	KFP001_KFP011	un	deg3	18.754226056290463		
10	KFP001_KFP012	un	deg3	21.456505386853227		
11	KFP001_KFP013	un	deg3	7.897569856679411		
12	KFP001_KFP014	un	deg3	19.642358713049134		
13	KFP001_KFP015	un	deg3	24.32322268869461		
14	KFP001_KFP016	un	deg3	23.532423885937533		
15	KFP001_KFP017	un	deg3	22.397905085943645		
16	KFP001_KFP018	un	deg3	18.823495943163152		
17	KFP001_KFP019	un	deg3	15.243935390569275		
18	KFP001_KFP020	un	deg3	16.893143436227547		
19	KFP001_KFP021	un	deg3	16.428722687990785		
20	KFP001_KFP022	un	deg3	22.75945179808832		
21	KFP001_KFP023	un	deg3	23.41172353241745		
22	KFP001_KFP024	un	deg3	21.287330252401947		
23	KFP001_KFP025	un	deg3	22.493377995180253		
24	KFP001_KFP026	un	deg3	18.166746990036927		
25	KFP001_KFP027	un	deg3	22.733773249918386		
26	KFP001_KFP028	un	deg3	21.155914766530714		
27	KFP001_KFP029	un	deg3	21.953374761048966		
28	KFP001_KFP030	un	deg3	18.06812723705661		
29	KFP001_KFP031	un	deg3	17.977805571814088		
30	KFP001_KFP032	un	deg3	19.018965003261425		
31	KFP001_KFP033	un	deg3	22.110447972843303		
32	KFP001_KFP034	un	deg3	14.65337712009591		
33	KFP001_KFP035	un	deg3	12.989357989736845		
34	KFP001_KFP036	un	deg3	20.09559274414073		
35	KFP001_KFP037	un	deg3	23.08892505284757		
36	KFP001_KFP038	un	deg3	17.927427203505204		
37	KFP001_KFP039	un	deg3	21.2829629727114		
38	KFP001_KFP040	un	deg3	19.483288826294253		
39	KFP001_KFP041	un	deg3	12.641809316698302		
40	KFP001_KFP042	un	deg3	22.35069563552884		
41	KFP001_KFP043	un	deg3	21.8862455748731		
42	KFP001_KFP044	un	deg3	23.09015828326437		
43	KFP001_KFP045	un	deg3	20.00633376343353		
44	KFP001_KFP046	un	deg3	21.332421260717183		
45	KFP001_KFP047	un	deg3	20.337325649416808		
46	KFP001_KFP048	un	deg3	19.5076006434208		
47	KFP001_KFP049	un	deg3	18.787948644603148		
48	KFP001_KFP050	un	deg3	17.225235419156434		
49	KFP001_KFP051	un	deg3	19.209405271481046		
50	KFP001_KFP052	un	deg3	22.084357844219312		
51	KFP001_KFP053	un	deg3	20.692973705863093		
52	KFP001_KFP054	un	deg3	21.554350130635385		
53	KFP001_KFP055	un	deg3	16.450997289751285		
54	KFP001_KFP056	un	deg3	24.222520712608233		
55	KFP001_KFP057	un	deg3	22.724416804120665		
56	KFP001_KFP058	un	deg3	13.44496463144378		
57	KFP001_KFP059	un	deg3	20.12729095434338		
58	KFP001_KFP060	un	deg3	19.723687164217377		
59	KFP001_KFP061	un	deg3	20.837668284320213		
60	KFP001_KFP062	un	deg3	17.685240112715746		
61	KFP001_KFP063	deg3	un	5.451096895877073		
62	KFP001_KFP064	un	deg3	23.77841959596003		
63	KFP001_KFP065	un	deg3	13.575824659365935		
64	KFP001_KFP066	un	deg3	22.498196445103076		
65	KFP001_KFP067	un	deg3	15.586312482737187		
66	KFP001_KFP068	un	deg3	15.860341384855476		
67	KFP001_KFP069	un	deg3	20.688734223669826		
68	KFP001_KFP070	un	deg3	21.71951818836192		
69	KFP001_KFP071	un	deg3	16.360869091189553		
70	KFP001_KFP072	un	deg3	21.274788182345677		
71	KFP001_KFP073	un	deg3	18.155434206330256		
72	KFP001_KFP074	un	deg3	19.867094186412945		
73	KFP001_KFP075	un	deg3	15.174390010060279		
74	KFP001_KFP076	id	sib	101.55104577351564		
75	KFP001_KFP077	un	deg3	18.9704101341872		
76	KFP001_KFP078	un	deg3	21.26932528273983		
77	KFP001_KFP079	un	deg3	20.694986299532506		
78	KFP001_KFP080	un	deg3	19.548988422609455		
79	KFP001_KFP081	un	deg3	19.552815407581534		
80	KFP001_KFP082	un	deg3	23.32129668793345		
81	KFP001_KFP083	un	deg3	20.86257269665839		
82	KFP001_KFP084	deg3	un	2.2440083452474937		
83	KFP001_KFP085	sec	deg3	10.864376083715117		
84	KFP001_KFP086	un	deg3	3.938230594557808		
85	KFP001_KFP087	un	deg3	20.696538842281143		
86	KFP001_KFP088	un	deg3	19.49880433026237		
87	KFP001_KFP089	un	deg3	17.6669509619278		
88	KFP001_KFP090	un	deg3	20.379906091008703		
89	KFP001_KFP091	un	deg3	21.34124142271776		
90	KFP001_KFP092	un	deg3	21.811757819618837		
91	KFP001_KFP093	un	deg3	21.152273314234666		
92	KFP001_KFP094	un	deg3	12.730537854433576		
93	KFP001_KFP095	un	deg3	18.70548332418275		
94	KFP001_KFP096	un	deg3	21.914716417041745		
95	KFP001_KFP097	un	deg3	23.23069882575737		
96	KFP001_KFP098	un	deg3	23.602214426911807		
97	KFP001_KFP099	un	deg3	22.10966449214061		
98	KFP001_KFP100	un	deg3	20.929322969962413		
99	KFP001_KFP101	un	deg3	19.580960893421206		
100	KFP001_KFP102	un	deg3	21.648427563616682		
101	KFP001_KFP103	un	deg3	18.133953954287108		
102	KFP001_KFP104	un	deg3	21.362390276477527		
103	KFP001_KFP105	un	deg3	19.51418817943636		
104	KFP001_KFP106	un	deg3	1.941325930580888		
105	KFP002_KFP003	deg3	un	2.994462740502513		
106	KFP002_KFP004	un	deg3	18.38751180798704		
107	KFP002_KFP005	sib	sec	46.073218071457866	pc	86.32503943710752
108	KFP002_KFP006	un	deg3	20.900493262675354		
109	KFP002_KFP007	un	deg3	22.455754287491573		
110	KFP002_KFP008	un	deg3	20.72647830167602		
111	KFP002_KFP009	un	deg3	18.145733597223398		
112	KFP002_KFP010	un	deg3	19.77983524770525		
113	KFP002_KFP011	un	deg3	21.10631162228788		
114	KFP002_KFP012	un	deg3	21.96304868472316		
115	KFP002_KFP013	un	deg3	2.7926185964176966		
116	KFP002_KFP014	un	deg3	18.10722437860659		
117	KFP002_KFP015	un	deg3	22.989520573438085		
118	KFP002_KFP016	un	deg3	23.38410070112013		
119	KFP002_KFP017	un	deg3	18.57730636558745		
120	KFP002_KFP018	un	deg3	18.087000074488515		
121	KFP002_KFP019	un	deg3	22.586974102235445		
122	KFP002_KFP020	un	deg3	15.637574869934044		
123	KFP002_KFP021	un	deg3	22.22044530582912		
124	KFP002_KFP022	un	deg3	22.682968393671217		
125	KFP002_KFP023	un	deg3	22.802894570582342		
