id	relatedness	relatedindividualID
RKC002	deg3	RKC028(0.93);RKC039(6.15);RKC046(5.91);RKC050(0.44)
RKC002	id	
RKC002	pc	RKC033(38.31)
RKC002	sec	RKC035(3.88);RKC036(1.34);RKC038(11.96);RKC042(10.22);RKC047(6.50)
RKC002	sib	RKC030(72.58);RKC031(60.04)
RKC005	deg3	RKC028(0.74);RKC039(2.23);RKC047(3.28);RKF086(0.01);RKF171(0.04)
RKC005	id	
RKC005	pc	RKC012(32.41)
RKC005	sec	RKC024(5.34);RKC025(0.34)
RKC005	sib	
RKC007	deg3	
RKC007	id	
RKC007	pc	RKC008(39.36);RKC009(37.61)
RKC007	sec	
RKC007	sib	RKC017(63.97)
RKC008	deg3	RKC017(0.72);RKC039(3.77);RKF128(3.04)
RKC008	id	
RKC008	pc	RKC007;RKC021(41.87)
RKC008	sec	RKC018(10.91);RKF088(6.39);RKF171(0.15)
RKC008	sib	RKC009(21.77)
RKC009	deg3	RKF088(2.78)
RKC009	id	
RKC009	pc	RKC007;RKC018(35.97)
RKC009	sec	RKC017(4.97);RKC021(7.84)
RKC009	sib	RKC008
RKC010	deg3	RKF094(1.61)
RKC010	id	
RKC010	pc	RKC027(40.74)
RKC010	sec	RKF187(10.15)
RKC010	sib	
RKC011	deg3	RKC012(2.24);RKC033(1.66);RKF150(0.39)
RKC011	id	
RKC011	pc	RKC027(37.55);RKC028(40.74);RKC029(39.49);RKC044(36.99)
RKC011	sec	RKC024(9.85);RKC038(6.89);RKC043(12.29);RKF014(0.19)
RKC011	sib	
RKC012	deg3	RKC011;RKC021(3.07);RKC033(1.87);RKF014(3.57)
RKC012	id	
RKC012	pc	RKC005;RKC024(40.12)
RKC012	sec	RKC028(11.06);RKC039(7.03);RKC047(9.10)
RKC012	sib	
RKC013	deg3	
RKC013	id	
RKC013	pc	RKC029(42.32)
RKC013	sec	
RKC013	sib	
RKC014	deg3	RKC024(2.62)
RKC014	id	
RKC014	pc	
RKC014	sec	
RKC014	sib	
RKC015	deg3	RKC020(1.49)
RKC015	id	
RKC015	pc	
RKC015	sec	RKC019(2.64)
RKC015	sib	
RKC016	deg3	RKF136(2.01)
RKC016	id	
RKC016	pc	
RKC016	sec	
RKC016	sib	
RKC017	deg3	RKC008
RKC017	id	
RKC017	pc	
RKC017	sec	RKC009
RKC017	sib	RKC007
RKC018	deg3	RKC039(2.28);RKF128(1.03)
RKC018	id	
RKC018	pc	RKC009;RKC021(36.88)
RKC018	sec	RKC008;RKF088(10.34)
RKC018	sib	
RKC019	deg3	
RKC019	id	
RKC019	pc	RKC020(38.63);RKC023(39.00)
RKC019	sec	RKC015
RKC019	sib	
RKC020	deg3	RKC015;RKF010(5.19);RKF014(5.34);RKF100(1.21);RKF218(1.75)
RKC020	id	
RKC020	pc	RKC019;RKF142(41.07)
RKC020	sec	RKF002(1.82);RKF016(14.17);RKF042(3.10);RKF140(14.98);RKF168(2.68);RKF199(6.44);RKF209(3.66)
RKC020	sib	RKC023(51.96)
RKC021	deg3	RKC012;RKF081(0.22);RKF145(4.58);RKF171(0.10);RKF180(2.59)
RKC021	id	
RKC021	pc	RKC008;RKC018;RKF088(41.70)
RKC021	sec	RKC009;RKC039(11.50);RKF128(8.25)
RKC021	sib	
RKC023	deg3	RKF002(0.31);RKF010(0.58);RKF014(5.59);RKF047(2.54)
RKC023	id	
RKC023	pc	RKC019;RKF142(40.06)
RKC023	sec	RKF016(13.56);RKF042(0.38);RKF100(1.01);RKF140(15.55);RKF168(3.53);RKF199(1.62);RKF209(9.28)
RKC023	sib	RKC020
RKC024	deg3	RKC014;RKC027(1.95);RKC029(3.04)
RKC024	id	
RKC024	pc	RKC012;RKC028(36.11)
RKC024	sec	RKC005;RKC011;RKF014(9.38)
RKC024	sib	
RKC025	deg3	RKC028(2.97);RKC033(0.43);RKF119(0.14);RKF167(0.36);RKF187(0.08)
RKC025	id	
RKC025	pc	
RKC025	sec	RKC005;RKC038(2.64);RKC040(14.55);RKC043(0.52);RKC045(11.40);RKF022(0.00)
RKC025	sib	
RKC027	deg3	RKC024;RKF187(0.07)
RKC027	id	
RKC027	pc	RKC010;RKC011
RKC027	sec	RKC028(0.96);RKC029(5.20);RKC043(2.55);RKC044(15.73)
RKC027	sib	
RKC028	deg3	RKC002;RKC005;RKC025;RKC030(2.40);RKC031(1.81);RKC042(0.50);RKC043(4.71);RKC045(1.90);RKC047(2.00)
RKC028	id	
RKC028	pc	RKC011;RKC024;RKC038(38.05);RKF014(41.27)
RKC028	sec	RKC012;RKC027;RKC029(9.93);RKC033(4.53);RKC036(7.87)
RKC028	sib	
RKC029	deg3	RKC024;RKC038(4.24);RKC043(5.52)
RKC029	id	
RKC029	pc	RKC011;RKC013
RKC029	sec	RKC027;RKC028;RKC044(8.08)
RKC029	sib	
RKC030	deg3	RKC028;RKC039(6.12);RKC046(4.70)
RKC030	id	
RKC030	pc	RKC033(35.91)
RKC030	sec	RKC035(5.73);RKC036(12.45);RKC038(6.57);RKC042(0.07);RKC047(6.60)
RKC030	sib	RKC002;RKC031(60.48)
RKC031	deg3	RKC028;RKC039(5.39)
RKC031	id	
RKC031	pc	RKC033(37.29);RKC035(42.34)
RKC031	sec	RKC036(6.09);RKC038(9.13);RKC042(11.36);RKC046(13.25);RKC047(3.52);RKC050(4.77)
RKC031	sib	RKC002;RKC030
RKC032	deg3	
RKC032	id	
RKC032	pc	RKC035(42.47)
RKC032	sec	RKC046(6.03);RKC050(14.05)
RKC032	sib	
RKC033	deg3	RKC011;RKC012;RKC025;RKC043(2.83);RKC045(4.93);RKC046(4.66);RKF135(2.80)
RKC033	id	
RKC033	pc	RKC002;RKC030;RKC031;RKC036(32.59);RKC038(36.26);RKC042(35.33)
RKC033	sec	RKC028;RKC035(11.57);RKC039(7.40)
RKC033	sib	RKC047(42.71)
RKC034	deg3	RKF058(0.02)
RKC034	id	
RKC034	pc	RKC045(41.46)
RKC034	sec	RKF171(0.10)
RKC034	sib	
RKC035	deg3	RKC036(4.53);RKC038(2.18);RKC042(5.62);RKC047(0.87)
RKC035	id	
RKC035	pc	RKC031;RKC032
RKC035	sec	RKC002;RKC030;RKC033;RKC046(11.19);RKC050(12.03)
RKC035	sib	
RKC036	deg3	RKC035;RKC039(3.55);RKC043(4.14);RKC045(0.68);RKC046(0.16);RKF014(1.91)
RKC036	id	
RKC036	pc	RKC033
