	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
0	RKC002_RKC028	deg3	un	0.931637945772081		
1	RKC002_RKC039	deg3	un	6.14507731392291		
2	RKC002_RKC046	deg3	un	5.91128853645728		
3	RKC002_RKC050	deg3	un	0.442407801276431		
4	RKC005_RKC028	deg3	un	0.737966909211764		
5	RKC005_RKC039	deg3	un	2.22930315281906		
6	RKC005_RKC047	deg3	un	3.27742180496352		
7	RKC005_RKF086	deg3	un	0.010068212616602		
8	RKC005_RKF171	deg3	sec	0.043547801192872		
9	RKC008_RKC017	deg3	sec	0.723673208973651		
10	RKC008_RKC039	deg3	un	3.76560534118221		
11	RKC008_RKF128	deg3	un	3.04205083192335		
12	RKC009_RKF088	deg3	un	2.77933731353551		
13	RKC010_RKF094	deg3	un	1.61368948645963		
14	RKC011_RKC012	deg3	sec	2.23661364520353		
15	RKC011_RKC033	deg3	un	1.66293279114188		
16	RKC011_RKF150	deg3	un	0.393635308503008		
17	RKC012_RKC021	deg3	un	3.06803846560615		
18	RKC012_RKC033	deg3	un	1.86687125794219		
19	RKC012_RKF014	deg3	sec	3.5665131161802		
20	RKC014_RKC024	deg3	un	2.61840172268126		
21	RKC015_RKC020	deg3	un	1.49059642834709		
22	RKC016_RKF136	deg3	un	2.0142538504856		
23	RKC018_RKC039	deg3	un	2.27872778187907		
24	RKC018_RKF128	deg3	un	1.02636922956265		
25	RKC020_RKF010	deg3	un	5.18913037404923		
26	RKC020_RKF014	deg3	un	5.3438017262306		
27	RKC020_RKF100	deg3	sec	1.21151126306881		
28	RKC020_RKF218	deg3	un	1.75464052263214		
29	RKC021_RKF081	deg3	un	0.218563950658563		
30	RKC021_RKF145	deg3	un	4.578561727634		
31	RKC021_RKF171	deg3	un	0.102102675576248		
32	RKC021_RKF180	deg3	un	2.58614472526074		
33	RKC023_RKF002	deg3	sec	0.308839423224072		
34	RKC023_RKF010	deg3	un	0.583559453829594		
35	RKC023_RKF014	deg3	sec	5.58629132872034		
36	RKC023_RKF047	deg3	un	2.53778131972604		
37	RKC024_RKC027	deg3	un	1.95051138388953		
38	RKC024_RKC029	deg3	un	3.03966504116306		
39	RKC025_RKC028	deg3	un	2.96796147389364		
40	RKC025_RKC033	deg3	un	0.431302491975885		
41	RKC025_RKF119	deg3	sec	0.141497637868042		
42	RKC025_RKF167	deg3	un	0.360360323117788		
43	RKC025_RKF187	deg3	un	0.077331739150964		
44	RKC027_RKF187	deg3	un	0.069537234142217		
45	RKC028_RKC030	deg3	un	2.3985001662279		
46	RKC028_RKC031	deg3	un	1.81267986293142		
47	RKC028_RKC042	deg3	un	0.503930027908609		
48	RKC028_RKC043	deg3	un	4.70529993787409		
49	RKC028_RKC045	deg3	un	1.89863376676999		
50	RKC028_RKC047	deg3	un	2.00016114290315		
51	RKC029_RKC038	deg3	un	4.23609929063332		
52	RKC029_RKC043	deg3	un	5.5180253011456		
53	RKC030_RKC039	deg3	un	6.11506565851255		
54	RKC030_RKC046	deg3	un	4.70205874688418		
55	RKC031_RKC039	deg3	un	5.38697543068702		
56	RKC033_RKC043	deg3	un	2.83101094906328		
57	RKC033_RKC045	deg3	un	4.92827836121205		
58	RKC033_RKC046	deg3	sec	4.6605375739025		
59	RKC033_RKF135	deg3	un	2.80096690524829		
60	RKC034_RKF058	deg3	un	0.020649101745264		
61	RKC035_RKC036	deg3	un	4.530101983858		
62	RKC035_RKC038	deg3	un	2.17947715033551		
63	RKC035_RKC042	deg3	un	5.61517248832593		
64	RKC035_RKC047	deg3	un	0.866293363304294		
65	RKC036_RKC039	deg3	un	3.55131006326201		
66	RKC036_RKC043	deg3	un	4.14393189452926		
67	RKC036_RKC045	deg3	un	0.684089002173096		
68	RKC036_RKC046	deg3	un	0.158708233051129		
69	RKC036_RKF014	deg3	un	1.91303268958313		
70	RKC038_RKC039	deg3	un	5.08793301135074		
71	RKC038_RKC046	deg3	un	0.256030115112935		
72	RKC039_RKC042	deg3	un	1.78476820440324		
73	RKC040_RKC043	deg3	sec	0.773156938455486		
74	RKC042_RKC046	deg3	un	1.0099499240946		
75	RKC043_RKF150	deg3	un	5.34178325061794		
76	RKC044_RKF119	deg3	un	0.20723958893501		
77	RKC045_RKC047	deg3	un	0.924577146716501		
78	RKC047_RKF135	deg3	un	0.415602487524211		
79	RKF001_RKF073	deg3	un	0.252457399460809		
80	RKF001_RKF168	deg3	un	0.557232056809085		
81	RKF001_RKF216	deg3	un	0.209168180274219		
82	RKF002_RKF010	deg3	sec	2.39087912645505		
83	RKF002_RKF012	deg3	un	2.53804820012147		
84	RKF002_RKF014	deg3	un	3.9379656791898		
85	RKF002_RKF047	deg3	sec	5.49290642605047		
86	RKF002_RKF100	deg3	un	0.726648527946963		
87	RKF002_RKF152	deg3	un	1.13104467348398		
88	RKF002_RKF160	deg3	un	0.050007076085194		
89	RKF002_RKF218	deg3	un	4.83114277219465		
